,nodes,accuracy_initial,accuracy_all,accuracy_consensus,acuuracy_no_consensus,accuracy_stuck,accuracy_circle,percent_converged,percent_stuck,percent_circling,mean_ssaturation,mean_frac_uneq_cue_edges,mean_frac_uneq_vote_edges
0,5.0,0.662,0.662,0.662,,,,1.0,0.0,0.0,4.43,0.49979999999999997,0.3474
1,10.0,0.582,0.611,0.642369020501139,0.38524590163934425,0.38524590163934425,,0.878,0.122,0.0,15.031890660592255,0.49565,0.35270000000000007
2,15.0,0.599,0.608,0.6562123039806996,0.3742690058479532,0.3742690058479532,,0.829,0.171,0.0,28.861278648974668,0.4985666666666666,0.3464666666666667
3,20.0,0.586,0.625,0.7031662269129287,0.38016528925619836,0.38016528925619836,,0.758,0.242,0.0,39.21635883905013,0.49439999999999995,0.33997499999999997
4,25.0,0.578,0.604,0.7189631650750341,0.2883895131086142,0.2883895131086142,,0.733,0.267,0.0,59.998635743519785,0.5006,0.34766
5,30.0,0.57,0.599,0.7551020408163265,0.25796178343949044,0.25796178343949044,,0.686,0.314,0.0,73.37026239067055,0.5011666666666666,0.34164999999999995
6,35.0,0.573,0.591,0.7940717628705148,0.22841225626740946,0.22841225626740946,,0.641,0.359,0.0,90.19032761310453,0.5003285714285715,0.34792857142857136
7,40.0,0.582,0.602,0.7910906298003072,0.2492836676217765,0.2492836676217765,,0.651,0.349,0.0,107.5668202764977,0.49982499999999996,0.33688750000000006
8,45.0,0.528,0.546,0.8043087971274686,0.22121896162528218,0.22121896162528218,,0.557,0.443,0.0,132.57989228007182,0.5004333333333333,0.35
